% GPS_time week, GPS_time sec, az[rad], age[s]
2312, 127548.900, 4.920862041563615, 1.0
2312, 127548.950, 4.921741261908046, 1.1
2312, 127549.000, 4.922158832021759, 1.0
2312, 127549.050, 4.922876502743026, 1.1
2312, 127549.100, 4.9227987535775775, 1.0
2312, 127549.150, 4.923409531638084, 1.0
2312, 127549.200, 4.924947485590106, 1.1
2312, 127549.250, 4.926700655359334, 1.1
2312, 127549.300, 4.92781669085973, 1.1
2312, 127549.350, 4.927740313548327, 1.1
2312, 127549.400, 4.927296958749072, 1.1
2312, 127549.450, 4.927208082397042, 1.1
2312, 127549.500, 4.927685232374505, 1.4
2312, 127549.550, 4.928763144341389, 1.1
2312, 127549.600, 4.9293600457352245, 1.1
2312, 127549.650, 4.92949631907131, 1.1
2312, 127549.700, 4.929361129280538, 1.1
2312, 127549.750, 4.930074679307568, 1.0
2312, 127549.800, 4.930203148709028, 1.1
2312, 127549.850, 4.93003829877614, 1.1
2312, 127549.900, 4.929707842698636, 1.1
2312, 127549.950, 4.929827185358276, 1.1
2312, 127550.000, 4.930427451910159, 1.0
2312, 127550.050, 4.930607509653703, 1.2
2312, 127550.100, 4.930742845135667, 1.0
2312, 127550.150, 4.9298350386011975, 1.0
2312, 127550.200, 4.929401032541615, 1.0
2312, 127550.250, 4.930286078623289, 1.0
2312, 127550.300, 4.931387706942514, 1.4
2312, 127550.350, 4.931507583364759, 1.0
2312, 127550.400, 4.931012974693973, 1.0
2312, 127550.450, 4.93088565581071, 1.0
2312, 127550.500, 4.931065412801571, 1.1
2312, 127550.550, 4.932151083851914, 1.0
2312, 127550.600, 4.933019794557647, 1.0
2312, 127550.650, 4.933918998771906, 1.1
2312, 127550.700, 4.933230126130418, 1.0
2312, 127550.750, 4.932758413791108, 1.1
2312, 127550.800, 4.932113805091628, 1.1
2312, 127550.850, 4.9310055678880715, 1.1
2312, 127550.900, 4.930818850887203, 1.1
2312, 127550.950, 4.930669689842148, 1.1
2312, 127551.000, 4.930423408577289, 1.1
2312, 127551.050, 4.930841448577876, 1.4
2312, 127551.100, 4.930729538653635, 1.0
2312, 127551.150, 4.929617854429702, 1.1
2312, 127551.200, 4.928626311040266, 1.1
2312, 127551.250, 4.9282397932444635, 1.1
2312, 127551.300, 4.927956513723235, 1.0
2312, 127551.350, 4.927442451311771, 1.1
2312, 127551.400, 4.926534317932447, 1.1
2312, 127551.450, 4.925731893711606, 1.1
