% GPS_time week, GPS_time sec, az[rad], age[s]
2314, 304411.150, 5.126906059571751, 7.1
2314, 304411.200, 5.12729676004221, 7.2
2314, 304411.250, 5.1276017244292635, 7.3
2314, 304411.300, 5.126316042676648, 7.4
2314, 304411.350, 5.1191164300062315, 7.5
2314, 304411.400, 5.103776451799809, 7.6
2314, 304411.450, 5.082451693579466, 7.6
2314, 304411.500, 5.05791324213022, 7.7
2314, 304411.550, 5.037797162947321, 7.7
2314, 304411.600, 5.028723104073179, 7.7
2314, 304411.650, 5.0265548265078595, 7.8
2314, 304411.700, 5.025331639185464, 7.8
2314, 304411.750, 5.023377828244138, 7.8
2314, 304411.800, 5.022962565773923, 7.8
2314, 304411.850, 5.024712480638577, 7.8
2314, 304411.900, 5.029069089650429, 7.9
2314, 304411.950, 5.033757732103769, 7.9
2314, 304412.000, 5.0375193896557455, 7.9
2314, 304412.050, 5.039903837738576, 7.8
2314, 304412.100, 5.04343010599535, 7.8
2314, 304412.150, 5.045643426022037, 7.8
2314, 304412.200, 5.048448669397409, 7.8
2314, 304412.250, 5.049991577893694, 7.8
2314, 304412.300, 5.050911242697126, 7.8
2314, 304412.350, 5.051247010204863, 7.8
2314, 304412.400, 5.050058001398819, 7.8
2314, 304412.450, 5.048317557460156, 7.7
2314, 304412.500, 5.046267805602439, 7.7
2314, 304412.550, 5.04134883488439, 7.6
2314, 304412.600, 5.037331044455975, 7.5
2314, 304412.650, 5.034080997053834, 7.5
2314, 304412.700, 5.031859103697528, 7.4
2314, 304412.750, 5.03077746588209, 7.4
2314, 304412.800, 5.028300185093901, 7.3
2314, 304412.850, 5.025300533963414, 7.2
2314, 304412.900, 5.022650480072931, 7.1
2314, 304412.950, 5.020856699143988, 7.0
2314, 304413.000, 5.021067813053699, 6.9
2314, 304413.050, 5.020214801795248, 6.8
2314, 304413.100, 5.016462042911112, 6.7
2314, 304413.150, 5.014091732116507, 6.6
2314, 304413.200, 5.012268475441538, 6.5
2314, 304413.250, 5.012300102955706, 6.3
2314, 304413.300, 5.011969769926141, 6.1
2314, 304413.350, 5.011635295987166, 6.0
2314, 304413.400, 5.011191791490164, 5.9
2314, 304413.450, 5.011057294400903, 5.7
2314, 304413.500, 5.011892431974532, 5.6
2314, 304413.550, 5.012497134080526, 5.4
2314, 304413.600, 5.013290970232154, 5.3
2314, 304413.650, 5.013750914865959, 5.1
2314, 304413.700, 4.992498212426746, 5.0
2314, 304413.750, 4.9852185402258975, 4.9
2314, 304413.800, 4.988448643136264, 4.8
2314, 304413.850, 4.9987560786571805, 4.7
2314, 304413.900, 5.0129828173678845, 4.6
2314, 304413.950, 5.028913618818423, 4.5
2314, 304414.000, 5.0443399818492605, 4.4
2314, 304414.050, 5.05813308563862, 4.3
2314, 304414.100, 5.069360864410532, 4.2
2314, 304414.150, 5.078675253695529, 4.2
2314, 304414.200, 5.085383854083937, 4.1
2314, 304414.250, 5.088451160166036, 4.0
2314, 304414.300, 5.088403758466073, 4.0
2314, 304414.350, 5.0854839561259215, 4.0
2314, 304414.400, 5.080358946740474, 4.0
2314, 304414.450, 5.075482615988297, 3.9
2314, 304414.500, 5.071758937747208, 3.8
2314, 304414.550, 5.070037684933212, 3.8
2314, 304414.600, 5.0690091163361215, 3.7
2314, 304414.650, 5.06638268514917, 3.7
2314, 304414.700, 5.0616870325262635, 3.6
2314, 304414.750, 5.0570318282465125, 3.6
2314, 304414.800, 5.054793377094179, 3.6
2314, 304414.850, 5.05395558963445, 3.5
2314, 304414.900, 5.05273598105989, 3.5
2314, 304414.950, 5.0499227006980325, 3.4
2314, 304415.000, 5.046473580117041, 3.4
2314, 304415.050, 5.042442174102979, 3.3
2314, 304415.100, 5.038902821173819, 3.3
2314, 304415.150, 5.035594273534837, 3.0
2314, 304415.200, 5.032358592763971, 3.1
2314, 304415.250, 5.029806960549415, 3.1
2314, 304415.300, 5.027675385700599, 3.0
2314, 304415.350, 5.027473954341606, 3.0
2314, 304415.400, 5.028670261895458, 3.1
2314, 304415.450, 5.032131505351735, 3.0
2314, 304415.500, 5.0365929010274995, 3.0
2314, 304415.550, 5.033372075223643, 3.3
2314, 304415.600, 5.035672823666446, 3.2
2314, 304415.650, 5.03773579330198, 3.2
2314, 304415.700, 5.039591079419723, 3.2
2314, 304415.750, 5.042215284705312, 3.1
2314, 304415.800, 5.045247242579787, 3.1
2314, 304415.850, 5.049490304604193, 3.0
2314, 304415.900, 5.053314136798026, 3.0
2314, 304415.950, 5.062378281729502, 3.0
2314, 304416.000, 5.066221176935928, 2.7
2314, 304416.050, 5.063270053658281, 3.0
2314, 304416.100, 5.063880256424353, 3.0
2314, 304416.150, 5.065144882222987, 3.3
2314, 304416.200, 5.065765607053541, 3.3
2314, 304416.250, 5.067424261163516, 3.3
2314, 304416.300, 5.06624954575685, 3.1
2314, 304416.350, 5.067437935541504, 3.1
2314, 304416.400, 5.0679624375691885, 3.0
2314, 304416.450, 5.068037355972776, 3.0
2314, 304416.500, 5.075490794947779, 3.0
2314, 304416.550, 5.0762437621397, 3.0
2314, 304416.600, 5.077414260111851, 2.8
2314, 304416.650, 5.07758277718973, 2.4
2314, 304416.700, 5.07834447986347, 2.4
2314, 304416.750, 5.0776667981134525, 1.9
2314, 304416.800, 5.078121577197285, 1.8
2314, 304416.850, 5.077701926169947, 1.9
2314, 304416.900, 5.076318796644004, 2.0
2314, 304416.950, 5.076956780688601, 2.4
2314, 304417.000, 5.077782212789959, 2.3
2314, 304417.050, 5.07858698604747, 1.9
2314, 304417.100, 5.079220005292758, 1.9
2314, 304417.150, 5.081002954843236, 2.4
2314, 304417.200, 5.088474641476804, 3.2
2314, 304417.250, 5.088971514350712, 3.2
2314, 304417.300, 5.091499841286341, 3.1
2314, 304417.350, 5.093757991422691, 3.1
2314, 304417.400, 5.09567869862569, 3.1
2314, 304417.450, 5.098001769750993, 3.1
2314, 304417.500, 5.101606149761758, 3.1
2314, 304417.550, 5.103204092041475, 3.0
2314, 304417.600, 5.1032444108306505, 3.0
2314, 304417.650, 5.095890855277371, 3.0
2314, 304417.700, 5.095810700546099, 3.0
2314, 304417.750, 5.096593220408937, 1.5
2314, 304417.800, 5.097399285328617, 1.5
2314, 304417.850, 5.0980790917465235, 1.8
2314, 304417.900, 5.098945850358618, 1.6
2314, 304417.950, 5.103763735026512, 1.5
2314, 304418.000, 5.108383477661535, 1.3
2314, 304418.050, 5.1100413433838305, 1.3
2314, 304418.100, 5.111122413929936, 1.3
2314, 304418.150, 5.113754933338712, 1.4
2314, 304418.200, 5.1181358804145765, 1.1
2314, 304418.250, 5.119989044430451, 1.2
2314, 304418.300, 5.119474177978725, 1.2
2314, 304418.350, 5.117955638034977, 1.3
2314, 304418.400, 5.117378635574063, 1.8
2314, 304418.450, 5.118514383964433, 1.5
2314, 304418.500, 5.11934065917698, 1.5
2314, 304418.550, 5.116597739991582, 1.6
2314, 304418.600, 5.115595169145613, 1.7
2314, 304418.650, 5.1217182276110425, 2.0
2314, 304418.700, 5.128074402793834, 1.8
2314, 304418.750, 5.129786871721734, 1.9
2314, 304418.800, 5.129060294262672, 1.9
2314, 304418.850, 5.1282432611709226, 2.0
2314, 304418.900, 5.127652527538202, 2.1
2314, 304418.950, 5.133853008212807, 3.4
2314, 304419.000, 5.129890690158876, 3.5
2314, 304419.050, 5.126029580306755, 3.6
2314, 304419.100, 5.122366034820136, 3.7
2314, 304419.150, 5.1196836899201, 3.8
2314, 304419.200, 5.11889016120393, 3.9
2314, 304419.250, 5.119512030130551, 4.0
2314, 304419.300, 5.119104443093145, 4.1
2314, 304419.350, 5.117965329664887, 4.2
2314, 304419.400, 5.1166091258910384, 4.3
2314, 304419.450, 5.116621474405763, 4.4
2314, 304419.500, 5.1172930007318485, 4.5
2314, 304419.550, 5.117697709230166, 4.5
2314, 304419.600, 5.117833694057056, 4.6
2314, 304419.650, 5.116702454667209, 4.7
2314, 304419.700, 5.116813074396181, 4.8
2314, 304419.750, 5.116517671110922, 4.8
2314, 304419.800, 5.115580716566881, 4.9
2314, 304419.850, 5.114901257173412, 4.9
2314, 304419.900, 5.109401485231336, 3.8
2314, 304419.950, 5.109150263592208, 3.8
2314, 304420.000, 5.1089912478594925, 3.8
2314, 304420.050, 5.107865080869958, 3.8
2314, 304420.100, 5.10796583274476, 3.9
2314, 304420.150, 5.108399611675017, 4.0
2314, 304420.200, 5.108977192486481, 4.0
2314, 304420.250, 5.109660858262839, 4.0
2314, 304420.300, 5.109462855882255, 4.1
2314, 304420.350, 5.109173433800077, 4.1
2314, 304420.400, 5.1091816381660164, 4.1
2314, 304420.450, 5.109989344496982, 4.2
2314, 304420.500, 5.105606904632146, 3.0
2314, 304420.550, 5.104488287562341, 3.0
2314, 304420.600, 5.1037270106827375, 3.1
